,url,class
0,https://en.wikipedia.org/wiki/Algorithm,Web Development
1,https://www.ibm.com/cloud/learn/machine-learning,Machine Learning 
2,https://www.computerhope.com/jargon/b/binary.htm,Machine Learning 
3,https://en.wikipedia.org/wiki/Algorithm,Data Structures and Algorithms
4,https://www.geeksforgeeks.org/introduction-to-algorithms/,Data Structures and Algorithms
5,https://www.vocabulary.com/dictionary/social,Web Development
6,https://learn.g2.com/what-is-graphic-design,Social Science
7,https://www.w3schools.com/REACT/DEFAULT.ASP,Data Structures and Algorithms
8,https://www.ibm.com/cloud/learn/machine-learning,Data Structures and Algorithms
